Index,Player,Nation,Position,Age,Matches Played (MP),Starts,Minutes Played (Min),90s Played (90s),Goals (Gls),Assists (Ast),Goals + Assists (G+A),Non-Penalty Goals (G-PK),Penalty Kicks Made (PK),Penalty Kicks Attempted (PKatt),Yellow Cards (CrdY),Red Cards (CrdR),Expected Goals (xG),Non-Penalty xG (npxG),Expected Assisted Goals (xAG),Non-Penalty xG + Assisted Goals (npxG+xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90 Minutes (Gls/90),Assists per 90 Minutes (Ast/90),Goals + Assists per 90 Minutes (G+A/90),Non-Penalty Goals per 90 Minutes (G-PK/90),Goals + Assists minus Penalty Kicks per 90 Minutes (G+A-PK/90),Expected Goals per 90 Minutes (xG/90),Expected Assisted Goals per 90 Minutes (xAG/90),Expected Goals + Assisted Goals per 90 Minutes (xG+xAG/90),Non-Penalty Expected Goals per 90 Minutes (npxG/90),Non-Penalty xG + Assisted Goals per 90 Minutes (npxG+xAG/90),Team,Season,Matches Played (MP)
16,Juanmi,es ESP,FW,30,,9,873,9.7,3,1,4,3,0,0,3,0,2.5,2.5,1.6,4.2,7,12,40,0.31,0.1,0.41,0.31,0.41,0.26,0.17,0.43,0.26,0.43,Cadiz,2023-2024,16
17,Rominigue Kouamï¿,ml MLI,MF,26,,9,821,9.1,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,16,34,5,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Cadiz,2023-2024,16
18,Joseba Zaldï¿½,es ESP,DF,31,,9,704,7.8,0,0,0,0,0,0,3,0,0,0,0.5,0.6,7,15,33,0,0,0,0,0,0,0.07,0.07,0,0.07,Cadiz,2023-2024,13
19,Luis Hernï¿½ï¿½,es ESP,DF,34,,8,723,8,1,0,1,1,0,0,4,0,1,1,0.4,1.3,2,31,1,0.12,0,0.12,0.12,0.12,0.12,0.04,0.16,0.12,0.16,Cadiz,2023-2024,9
20,Jorge Merï¿,es ESP,DF,26,,8,673,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,2,15,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Cadiz,2023-2024,10
21,Aiham Ousou,sy SYR,DF,23,,5,430,4.8,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,2,7,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Cadiz,2023-2024,6
22,David Gil,es ESP,GK,29,,4,372,4.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cadiz,2023-2024,5
23,Fede San Emeterio,es ESP,MF,26,,3,152,1.7,1,0,1,1,0,0,1,1,0.1,0.1,0.1,0.1,0,4,0,0.59,0,0.59,0.59,0.59,0.03,0.05,0.09,0.03,0.09,Cadiz,2023-2024,4
24,Mamadou Mbaye,sn SEN,DF,25,,2,288,3.2,0,0,0,0,0,0,2,0,0.3,0.3,0,0.3,0,4,0,0,0,0,0,0,0.11,0,0.11,0.11,0.11,Cadiz,2023-2024,4
25,Sergi Guardiola,es ESP,"FW,MF",32,,1,495,5.5,1,1,2,1,0,0,1,0,1.8,1.8,0.8,2.6,10,19,32,0.18,0.18,0.36,0.18,0.36,0.33,0.14,0.48,0.33,0.48,Cadiz,2023-2024,22
26,Brian Ocampo,uy URU,"MF,FW",24,,1,248,2.8,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.3,18,9,25,0.36,0,0.36,0.36,0.36,0.1,0.03,0.13,0.1,0.13,Cadiz,2023-2024,13
27,Diadie Samassï¿½ï¿,ml MLI,MF,27,,0,92,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,0,0,0,0,0,0.03,0.02,0.04,0.03,0.04,Cadiz,2023-2024,4
28,ýýlvaro Negredo,es ESP,"FW,MF",37,,0,54,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,0,0,0,0,0,0,0,0.16,0.13,0.28,0.16,0.28,Cadiz,2023-2024,7
29,Karl Etta,cm CMR,FW,19,,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cadiz,2023-2024,1
30,Josï¿½ï¿½ ,es ESP,"MF,FW",35,,0,14,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.18,0.18,0,0.18,Cadiz,2023-2024,3
31,Milutin Osmajiï¿,me MNE,MF,24,,0,5,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,1.46,0.8,2.26,1.46,2.26,Cadiz,2023-2024,1
32,Borja Vï¿½ï¿½z,es ESP,FW,18,,0,4,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,1,1,0,0,0,0,0,0,1.7,1.7,0,1.7,Cadiz,2023-2024,1
33,Moussa Diakitï¿,ml MLI,MF,19,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cadiz,2023-2024,1
34,Nando Almodï¿½ï¿,es ESP,GK,19,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cadiz,2023-2024,0
35,Josï¿½ï¿½ Ant,es ESP,FW,19,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cadiz,2023-2024,0
36,ýýlvaro Bastida,es ESP,MF,19,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cadiz,2023-2024,0
37,Alejandro Morata,es ESP,DF,17,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cadiz,2023-2024,0
38,Aristide Njalla,cm CMR,MF,20,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cadiz,2023-2024,0
39,Victor Wehbi,br BRA,GK,20,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cadiz,2023-2024,0
40,Squad Total,,,28.5,,418,3420,38,25,17,42,22,3,3,107,7,36,33.6,25.2,58.9,456,1017,996,0.66,0.45,1.11,0.58,1.03,0.95,0.66,1.61,0.88,1.55,Cadiz,2023-2024,38
41,Opponent Total,,,27.3,,418,3420,38,54,37,91,52,2,2,97,4,52.3,50.7,40.2,90.9,787,1679,1662,1.42,0.97,2.39,1.37,2.34,1.38,1.06,2.43,1.34,2.39,Cadiz,2023-2024,38
0,Jï¿½ï¿½rgen Strand La,no NOR,FW,23,37,36,2863,31.8,13,3,16,13,0,0,5,0,14.5,14.5,2.5,17,33,25,183,0.41,0.09,0.5,0.41,0.5,0.46,0.08,0.54,0.46,0.54,Celta Vigo,2023-2024,
1,ýýscar Mingueza,es ESP,"DF,MF",24,38,33,2998,33.3,2,2,4,2,0,0,4,0,2.6,2.6,3.9,6.5,74,170,134,0.06,0.06,0.12,0.06,0.12,0.08,0.12,0.2,0.08,0.2,Celta Vigo,2023-2024,
2,Unai Nï¿½ï¿½,es ESP,DF,26,34,31,2801,31.1,1,0,1,1,0,0,4,0,1.4,1.4,0.8,2.2,10,106,2,0.03,0,0.03,0.03,0.03,0.05,0.02,0.07,0.05,0.07,Celta Vigo,2023-2024,
3,Iago Aspas,es ESP,FW,35,35,31,2707,30.1,9,10,19,6,3,5,6,1,11.5,7.5,10.1,17.6,84,161,202,0.3,0.33,0.63,0.2,0.53,0.38,0.34,0.72,0.25,0.59,Celta Vigo,2023-2024,
4,Fran Beltrï¿½,es ESP,MF,24,33,28,2428,27,0,0,0,0,0,0,2,0,0.7,0.7,1.1,1.8,28,134,30,0,0,0,0,0,0.03,0.04,0.07,0.03,0.07,Celta Vigo,2023-2024,
5,Vicente Guaita,es ESP,GK,36,27,26,2403,26.7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Celta Vigo,2023-2024,
6,Carl Starfelt,se SWE,DF,28,27,26,2216,24.6,1,0,1,1,0,0,4,0,1.4,1.4,0.2,1.6,5,38,1,0.04,0,0.04,0.04,0.04,0.06,0.01,0.06,0.06,0.06,Celta Vigo,2023-2024,
7,Jonathan Bamba,ci CIV,"MF,FW",27,27,24,1981,22,3,2,5,3,0,0,0,0,3,3,4.7,7.7,107,80,169,0.14,0.09,0.23,0.14,0.23,0.14,0.21,0.35,0.14,0.35,Celta Vigo,2023-2024,
8,Luca de la Torre,us USA,MF,25,31,22,1956,21.7,1,4,5,1,0,0,4,1,2.5,2.5,1.4,3.9,58,93,88,0.05,0.18,0.23,0.05,0.23,0.11,0.07,0.18,0.11,0.18,Celta Vigo,2023-2024,
9,Manu Sï¿½ï¿½n,es ESP,"DF,MF",22,26,20,1775,19.7,0,5,5,0,0,0,3,0,0.5,0.5,2.7,3.2,41,74,67,0,0.25,0.25,0,0.25,0.02,0.14,0.16,0.02,0.16,Celta Vigo,2023-2024,
10,Carlos Dominguez,es ESP,DF,22,22,18,1584,17.6,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,11,63,3,0,0,0,0,0,0.02,0.01,0.02,0.02,0.02,Celta Vigo,2023-2024,
11,Renato Tapia,pe PER,"MF,DF",28,21,15,1337,14.9,0,0,0,0,0,0,5,1,1,1,0.6,1.6,9,61,14,0,0,0,0,0,0.07,0.04,0.11,0.07,0.11,Celta Vigo,2023-2024,
12,Ivï¿½ï¿½n Vi,es ESP,GK,26,12,12,1014,11.3,0,0,0,0,0,0,0,2,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Celta Vigo,2023-2024,
13,Javier Manquillo,es ESP,"DF,MF",29,12,10,744,8.3,0,1,1,0,0,0,3,0,0.1,0.1,0.2,0.3,5,25,16,0,0.12,0.12,0,0.12,0.01,0.02,0.04,0.01,0.04,Celta Vigo,2023-2024,
14,Kevin Vï¿½ï¿½z,es ESP,DF,30,12,10,700,7.8,0,0,0,0,0,0,3,0,0,0,0.2,0.2,6,28,20,0,0,0,0,0,0,0.02,0.03,0,0.03,Celta Vigo,2023-2024,
15,Jailson Siqueira,br BRA,"DF,MF",27,14,9,897,10,0,1,1,0,0,0,1,0,0.2,0.2,0.5,0.7,16,38,8,0,0.1,0.1,0,0.1,0.02,0.05,0.07,0.02,0.07,Celta Vigo,2023-2024,
16,Mihailo Ristiï¿,rs SRB,"DF,MF",27,12,9,808,9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.5,24,30,42,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,Celta Vigo,2023-2024,
17,Hugo ï¿½ï¿½lv,es ESP,"MF,DF",20,12,8,762,8.5,1,1,2,1,0,0,1,0,1,1,1.5,2.6,36,34,80,0.12,0.12,0.24,0.12,0.24,0.12,0.18,0.3,0.12,0.3,Celta Vigo,2023-2024,
18,Hugo Sotelo,es ESP,MF,19,17,8,721,8,0,1,1,0,0,0,1,0,0.3,0.3,1.6,1.9,16,55,13,0,0.12,0.12,0,0.12,0.04,0.19,0.24,0.04,0.24,Celta Vigo,2023-2024,
19,Anastasios Douvikas,gr GRE,FW,23,32,7,905,10.1,7,1,8,7,0,0,2,0,4.6,4.6,1.3,5.9,10,13,53,0.7,0.1,0.8,0.7,0.8,0.46,0.13,0.59,0.46,0.59,Celta Vigo,2023-2024,
20,Carles Pï¿½ï¿,es ESP,"MF,DF",25,16,7,772,8.6,1,1,2,1,0,0,3,0,1.2,1.2,1.3,2.4,34,18,66,0.12,0.12,0.23,0.12,0.23,0.14,0.15,0.28,0.14,0.28,Celta Vigo,2023-2024,
21,Carlos Dotor,es ESP,MF,22,17,7,708,7.9,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,3,30,12,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,Celta Vigo,2023-2024,
22,Franco Cervi,ar ARG,"MF,DF",29,17,5,546,6.1,0,1,1,0,0,0,2,0,0.5,0.5,2,2.5,16,24,36,0,0.16,0.16,0,0.16,0.08,0.34,0.41,0.08,0.41,Celta Vigo,2023-2024,
23,Williot Swedberg,se SWE,"FW,MF",19,15,4,439,4.9,5,0,5,5,0,0,1,0,2.3,2.3,0.2,2.5,7,6,26,1.03,0,1.03,1.03,1.03,0.47,0.04,0.51,0.47,0.51,Celta Vigo,2023-2024,
24,Joseph Aidoo,gh GHA,DF,27,6,4,407,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,12,0,0,0,0,0,0,0.02,0.01,0.04,0.02,0.04,Celta Vigo,2023-2024,
25,Damiï¿½ï¿½n Rodrï¿,es ESP,MF,20,5,3,258,2.9,0,2,2,0,0,0,1,0,0,0,0.8,0.8,2,9,4,0,0.7,0.7,0,0.7,0.01,0.27,0.28,0.01,0.28,Celta Vigo,2023-2024,
26,Tadeo Allende,ar ARG,"MF,FW",24,10,2,336,3.7,1,0,1,1,0,0,1,0,1.2,1.2,0.4,1.6,9,7,25,0.27,0,0.27,0.27,0.27,0.33,0.1,0.43,0.33,0.43,Celta Vigo,2023-2024,
27,Miguel Rodrï¿½ï¿½,es ESP,MF,20,15,2,300,3.3,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,14,8,35,0,0,0,0,0,0.07,0.05,0.11,0.07,0.11,Celta Vigo,2023-2024,
28,Yoel Lago,es ESP,DF,19,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Celta Vigo,2023-2024,
29,Javier Rueda Garcia,es ESP,"MF,DF",21,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,Celta Vigo,2023-2024,
30,Gabriel Veiga,es ESP,FW,21,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Celta Vigo,2023-2024,
31,Coke Carrillo,es ESP,GK,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celta Vigo,2023-2024,
32,Javier Dominguez,es ESP,DF,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celta Vigo,2023-2024,
33,Cï¿½ï¿½sar Fernï¿,es ESP,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celta Vigo,2023-2024,
34,Agustï¿½ï¿½n Marche,ar ARG,GK,35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celta Vigo,2023-2024,
35,Gonï¿½ï¿½alo Paciï¿,pt POR,FW,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celta Vigo,2023-2024,
36,Javi Rodrï¿½ï¿½,es ESP,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celta Vigo,2023-2024,
37,Ruly,es ESP,GK,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celta Vigo,2023-2024,
38,Squad Total,,,26.7,38,418,3420,38,45,35,80,42,3,5,66,5,50.7,46.9,38.2,85.1,660,1345,1332,1.18,0.92,2.11,1.11,2.03,1.34,1.01,2.34,1.23,2.24,Celta Vigo,2023-2024,
39,Opponent Total,,,27.1,38,418,3420,38,54,32,86,48,6,8,89,4,54.6,48.4,35.9,84.3,651,1535,1517,1.42,0.84,2.26,1.26,2.11,1.44,0.95,2.38,1.27,2.22,Celta Vigo,2023-2024,
0,David Soria,es ESP,GK,30,38,38,3413,37.9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Getafe,2023-2024,
1,Nemanja Maksimoviï¿,rs SRB,MF,28,37,37,3265,36.3,4,0,4,4,0,0,4,0,5.5,5.5,1.1,6.6,22,73,35,0.11,0,0.11,0.11,0.11,0.15,0.03,0.18,0.15,0.18,Getafe,2023-2024,
2,Mason Greenwood,eng ENG,"MF,FW",21,33,30,2662,29.6,8,6,14,6,2,3,6,1,8.8,6.4,4.6,11,127,89,239,0.27,0.2,0.47,0.2,0.41,0.3,0.15,0.45,0.22,0.37,Getafe,2023-2024,
3,Djenï¿,tg TOG,"DF,MF",31,33,30,2484,27.6,0,0,0,0,0,0,14,1,0.1,0.1,0.3,0.4,13,98,19,0,0,0,0,0,0,0.01,0.02,0,0.02,Getafe,2023-2024,
4,Gastï¿½ï¿½n ï¿½ï,uy URU,DF,23,34,29,2537,28.2,2,0,2,2,0,0,7,0,0.7,0.7,0.6,1.4,11,63,40,0.07,0,0.07,0.07,0.07,0.03,0.02,0.05,0.03,0.05,Getafe,2023-2024,
5,Diego Rico,es ESP,DF,30,32,28,2535,28.2,0,7,7,0,0,0,10,0,0.3,0.3,3.8,4.1,28,119,79,0,0.25,0.25,0,0.25,0.01,0.14,0.15,0.01,0.15,Getafe,2023-2024,
6,Borja Mayoral,es ESP,FW,26,27,25,2153,23.9,15,1,16,11,4,4,2,0,11.9,8.7,1.4,10.1,27,67,100,0.63,0.04,0.67,0.46,0.5,0.5,0.06,0.55,0.36,0.42,Getafe,2023-2024,
7,Luis Milla,es ESP,MF,28,27,25,2115,23.5,0,1,1,0,0,0,6,0,0.6,0.6,1.7,2.3,31,121,35,0,0.04,0.04,0,0.04,0.03,0.07,0.1,0.03,0.1,Getafe,2023-2024,
8,Omar Alderete,py PAR,DF,26,31,24,2195,24.4,0,1,1,0,0,0,8,1,1.2,1.2,1,2.2,23,98,9,0,0.04,0.04,0,0.04,0.05,0.04,0.09,0.05,0.09,Getafe,2023-2024,
9,Jaime Mata,es ESP,"FW,MF",34,35,22,1787,19.9,5,1,6,5,0,0,10,1,5.6,5.6,1.5,7.2,16,19,138,0.25,0.05,0.3,0.25,0.3,0.28,0.08,0.36,0.28,0.36,Getafe,2023-2024,
10,Iglesias,es ESP,"DF,FW",25,23,16,1412,15.7,0,2,2,0,0,0,4,0,0.6,0.6,0.7,1.3,16,43,48,0,0.13,0.13,0,0.13,0.04,0.04,0.08,0.04,0.08,Getafe,2023-2024,
11,Juanmi Latasa,es ESP,FW,22,32,15,1555,17.3,2,0,2,2,0,0,7,1,3.6,3.5,1.5,5,7,16,82,0.12,0,0.12,0.12,0.12,0.21,0.09,0.29,0.2,0.29,Getafe,2023-2024,
12,Carmona,es ESP,"DF,MF",21,30,15,1313,14.6,1,1,2,1,0,0,8,0,0.8,0.8,1,1.8,29,39,55,0.07,0.07,0.14,0.07,0.14,0.06,0.07,0.12,0.06,0.12,Getafe,2023-2024,
13,Damiï¿½ï¿½n Suï,uy URU,DF,35,16,15,1299,14.4,0,2,2,0,0,0,7,1,0.3,0.3,0.8,1.2,20,58,47,0,0.14,0.14,0,0.14,0.02,0.06,0.08,0.02,0.08,Getafe,2023-2024,
14,Domingos Duarte,pt POR,DF,28,15,11,907,10.1,0,0,0,0,0,0,5,2,0.3,0.3,0.1,0.4,7,47,0,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Getafe,2023-2024,
15,Carles Aleï¿½ï,es ESP,MF,25,29,10,1020,11.3,1,1,2,1,0,0,6,0,1.2,1.2,1.6,2.8,12,23,45,0.09,0.09,0.18,0.09,0.18,0.11,0.14,0.25,0.11,0.25,Getafe,2023-2024,
16,ýýscar Rodrýýguez Arnaiz,es ESP,"MF,FW",25,24,9,967,10.7,2,1,3,2,0,0,9,0,1.5,1.5,2.1,3.6,13,52,48,0.19,0.09,0.28,0.19,0.28,0.14,0.2,0.34,0.14,0.34,Getafe,2023-2024,
17,Stefan Mitroviï¿,rs SRB,DF,33,11,9,699,7.8,1,0,1,1,0,0,3,0,0.1,0.1,0.3,0.4,4,19,2,0.13,0,0.13,0.13,0.13,0.01,0.04,0.05,0.01,0.05,Getafe,2023-2024,
18,Jesï¿½ï¿½s Sant,es ESP,MF,19,14,8,656,7.3,1,0,1,1,0,0,4,0,0.6,0.6,0.4,1,5,15,12,0.14,0,0.14,0.14,0.14,0.08,0.05,0.14,0.08,0.14,Getafe,2023-2024,
19,Ilaix Moriba,gn GUI,"MF,FW",20,14,8,605,6.7,0,2,2,0,0,0,5,1,0.3,0.3,0.6,0.9,8,21,19,0,0.3,0.3,0,0.3,0.05,0.09,0.14,0.05,0.14,Getafe,2023-2024,
20,Jordi,es ESP,"MF,DF",22,13,5,573,6.4,0,0,0,0,0,0,1,0,1.3,1.3,0.6,1.8,6,14,28,0,0,0,0,0,0.2,0.09,0.28,0.2,0.28,Getafe,2023-2024,
21,Mauro Arambarri,uy URU,MF,27,7,3,339,3.8,0,0,0,0,0,0,2,0,0.5,0.5,0,0.6,2,20,6,0,0,0,0,0,0.14,0.01,0.15,0.14,0.15,Getafe,2023-2024,
22,Nabil Aberdin,fr FRA,DF,20,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,Getafe,2023-2024,
23,Fabrizio Angileri,ar ARG,"DF,MF",29,11,2,164,1.8,0,0,0,0,0,0,2,1,0,0,1.3,1.3,2,7,6,0,0,0,0,0,0,0.73,0.73,0,0.73,Getafe,2023-2024,
24,Enes ï¿½ï¿,tr TUR,"FW,MF",26,3,1,140,1.6,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,2,1,7,0,0.64,0.64,0,0.64,0.06,0.24,0.3,0.06,0.3,Getafe,2023-2024,
25,Alberto Risco,es ESP,MF,17,4,1,137,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,3,6,14,0,0,0,0,0,0.05,0.21,0.26,0.05,0.26,Getafe,2023-2024,
26,Portu,es ESP,FW,31,3,0,97,1.1,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.3,3,3,3,0,0,0,0,0,0.15,0.14,0.29,0.15,0.29,Getafe,2023-2024,
27,Anthony Lozano,hn HON,"MF,FW",30,6,0,92,1,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.4,0,1,6,0,0,0,0,0,0.18,0.25,0.43,0.18,0.43,Getafe,2023-2024,
28,Santiago Garcï¿½,es ESP,FW,21,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,Getafe,2023-2024,
29,Daniel Fuzato,br BRA,GK,26,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Getafe,2023-2024,
30,Gorka Rivera Alonso,es ESP,DF,18,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Getafe,2023-2024,
31,Yassin Tallal,es ESP,FW,18,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Getafe,2023-2024,
32,Jeremy Jorge,es ESP,FW,20,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Getafe,2023-2024,
33,Jorge Benito,es ESP,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe,2023-2024,
34,Facundo Esnï¿½ï¿½,es ESP,MF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe,2023-2024,
35,Sergio Gimeno,es ESP,DF,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe,2023-2024,
36,Alejandro Herranz,es ESP,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe,2023-2024,
37,John Joe,ie IRL,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe,2023-2024,
38,Diego Lï¿½ï¿,es ESP,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe,2023-2024,
39,Djordjije Medenica,es ESP,GK,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe,2023-2024,
40,Squad Total,,,27.3,38,418,3420,38,42,27,69,36,6,7,135,10,45.7,40.2,27.9,68,439,1141,1124,1.11,0.71,1.82,0.95,1.66,1.2,0.73,1.94,1.06,1.79,Getafe,2023-2024,
41,Opponent Total,,,27.2,38,418,3420,38,54,37,91,49,5,7,105,10,53.8,48.3,38,86.3,599,1325,1309,1.42,0.97,2.39,1.29,2.26,1.42,1,2.42,1.27,2.27,Getafe,2023-2024,
0,Paulo Gazzaniga,ar ARG,GK,31,,38,3420,38,0,0,0,0,0,0,2,0,0,0,0.7,0.7,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Girona,2023-2024,38
1,Aleix Garcï¿½,es ESP,MF,26,,36,3199,35.5,3,6,9,3,0,0,4,1,1.8,1.8,5.5,7.3,58,294,52,0.08,0.17,0.25,0.08,0.25,0.05,0.16,0.21,0.05,0.21,Girona,2023-2024,37
2,Miguel Gutiï¿½ï¿½,es ESP,DF,22,,35,3032,33.7,2,7,9,2,0,0,4,0,2.8,2.8,7.5,10.2,74,146,184,0.06,0.21,0.27,0.06,0.27,0.08,0.22,0.3,0.08,0.3,Girona,2023-2024,35
3,Sï¿½ï¿,br BRA,"FW,MF",19,,35,2976,33.1,9,10,19,9,0,0,5,0,6.1,6.1,7.9,14,181,93,372,0.27,0.3,0.57,0.27,0.57,0.18,0.24,0.42,0.18,0.42,Girona,2023-2024,37
4,Daley Blind,nl NED,DF,33,,33,2972,33,1,2,3,1,0,0,6,0,1.7,1.7,1.1,2.8,48,209,22,0.03,0.06,0.09,0.03,0.09,0.05,0.03,0.09,0.05,0.09,Girona,2023-2024,34
5,Ivï¿½ï¿½n Mar,es ESP,MF,24,,33,2729,30.3,5,4,9,5,0,0,5,0,2.9,2.9,3.4,6.3,84,143,109,0.16,0.13,0.3,0.16,0.3,0.09,0.11,0.21,0.09,0.21,Girona,2023-2024,36
6,Artem Dovbyk,ua UKR,FW,26,,32,2587,28.7,24,8,32,17,7,8,2,0,24.2,17.9,6.2,24.1,18,26,118,0.83,0.28,1.11,0.59,0.87,0.84,0.21,1.05,0.62,0.84,Girona,2023-2024,36
7,Eric Garcï¿½,es ESP,DF,22,,30,2637,29.3,5,0,5,5,0,0,4,0,2.8,2.8,0.5,3.4,45,221,18,0.17,0,0.17,0.17,0.17,0.1,0.02,0.12,0.1,0.12,Girona,2023-2024,30
8,Yangel Herrera,ve VEN,MF,25,,27,2107,23.4,5,0,5,5,0,0,9,0,4.9,4.9,2.4,7.3,31,92,76,0.21,0,0.21,0.21,0.21,0.21,0.1,0.31,0.21,0.31,Girona,2023-2024,29
9,Viktor Tsyhankov,ua UKR,"MF,FW",25,,26,2052,22.8,8,7,15,8,0,0,0,0,6.2,6.2,5.9,12.1,65,89,226,0.35,0.31,0.66,0.35,0.66,0.27,0.26,0.53,0.27,0.53,Girona,2023-2024,30
10,David Lï¿½ï¿,es ESP,DF,33,,25,1965,21.8,3,0,3,3,0,0,4,0,2.1,1.9,0.2,2.1,15,54,1,0.14,0,0.14,0.14,0.14,0.1,0.01,0.11,0.09,0.1,Girona,2023-2024,25
11,Yan Couto,br BRA,"DF,FW",21,,24,2245,24.9,1,8,9,1,0,0,8,0,1.5,1.5,4.2,5.7,151,97,240,0.04,0.32,0.36,0.04,0.36,0.06,0.17,0.23,0.06,0.23,Girona,2023-2024,34
12,Arnau Martinez,es ESP,DF,20,,14,1241,13.8,0,2,2,0,0,0,5,0,0.2,0.2,1.4,1.6,29,68,16,0,0.15,0.15,0,0.15,0.01,0.1,0.12,0.01,0.12,Girona,2023-2024,21
13,Portu,es ESP,"MF,FW",31,,11,1188,13.2,7,5,12,7,0,0,3,0,3.4,3.4,3.5,6.8,32,32,96,0.53,0.38,0.91,0.53,0.91,0.26,0.26,0.52,0.26,0.52,Girona,2023-2024,33
14,Juanpe,es ESP,DF,32,,6,746,8.3,0,0,0,0,0,0,4,0,0.2,0.2,0,0.2,3,14,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Girona,2023-2024,17
