Index,Player,Nation,Position,Age,Matches Played (MP),Starts,Minutes Played (Min),90s Played (90s),Goals (Gls),Assists (Ast),Goals + Assists (G+A),Non-Penalty Goals (G-PK),Penalty Kicks Made (PK),Penalty Kicks Attempted (PKatt),Yellow Cards (CrdY),Red Cards (CrdR),Expected Goals (xG),Non-Penalty xG (npxG),Expected Assisted Goals (xAG),Non-Penalty xG + Assisted Goals (npxG+xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90 Minutes (Gls/90),Assists per 90 Minutes (Ast/90),Goals + Assists per 90 Minutes (G+A/90),Non-Penalty Goals per 90 Minutes (G-PK/90),Goals + Assists minus Penalty Kicks per 90 Minutes (G+A-PK/90),Expected Goals per 90 Minutes (xG/90),Expected Assisted Goals per 90 Minutes (xAG/90),Expected Goals + Assisted Goals per 90 Minutes (xG+xAG/90),Non-Penalty Expected Goals per 90 Minutes (npxG/90),Non-Penalty xG + Assisted Goals per 90 Minutes (npxG+xAG/90),Team,Season,Matches Played (MP)
32,Opponent Total,,,26.9,38,418,3420,38,33,27,60,32,1,5,82,3,41.3,37.5,32,69.5,521,1298,1281,0.87,0.71,1.58,0.84,1.55,1.09,0.84,1.93,0.99,1.83,Athletic Club,2023-2024,
0,Antonio Sivera,es ESP,GK,26,34,34,3060,34,0,0,0,0,0,0,3,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Alaves,2023-2024,
1,Jon Guridi,es ESP,MF,28,36,34,2678,29.8,3,4,7,3,0,0,2,0,4,4,3.5,7.5,30,117,92,0.1,0.13,0.24,0.1,0.24,0.13,0.12,0.25,0.13,0.25,Alaves,2023-2024,
2,Ander Guevara,es ESP,MF,26,37,33,2932,32.6,1,0,1,1,0,0,7,0,0.7,0.7,0.9,1.5,53,187,37,0.03,0,0.03,0.03,0.03,0.02,0.03,0.05,0.02,0.05,Alaves,2023-2024,
3,Andoni Gorosabel,es ESP,DF,26,36,33,2854,31.7,1,0,1,1,0,0,6,0,0.7,0.7,1.3,2,58,117,121,0.03,0,0.03,0.03,0.03,0.02,0.04,0.06,0.02,0.06,Alaves,2023-2024,
4,Luis Rioja,es ESP,"FW,MF",29,37,31,2498,27.8,5,4,9,2,3,4,4,0,6.1,3,3.9,6.9,70,77,173,0.18,0.14,0.32,0.07,0.22,0.22,0.14,0.36,0.11,0.25,Alaves,2023-2024,
5,Antonio Blanco,es ESP,MF,23,33,29,2426,27,0,1,1,0,0,0,5,1,0.8,0.8,1.2,2.1,20,133,22,0,0.04,0.04,0,0.04,0.03,0.05,0.08,0.03,0.08,Alaves,2023-2024,
6,Rafa Marï¿½,es ESP,DF,21,33,27,2443,27.1,0,0,0,0,0,0,6,0,0.7,0.7,0.3,1,13,77,6,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Alaves,2023-2024,
7,Abdel Abqar,ma MAR,DF,24,27,27,2312,25.7,0,0,0,0,0,0,10,0,0.5,0.5,0.2,0.6,7,49,1,0,0,0,0,0,0.02,0.01,0.02,0.02,0.02,Alaves,2023-2024,
8,Javi Lï¿½ï¿,es ESP,DF,21,32,25,2386,26.5,1,3,4,1,0,0,3,0,0.9,0.9,3,4,53,92,120,0.04,0.11,0.15,0.04,0.15,0.04,0.11,0.15,0.04,0.15,Alaves,2023-2024,
