Index,Player,Nation,Team,Position,Age,Matches Played (MP),Starts,Minutes Played (Min),90s Played (90s),Goals (Gls),Assists (Ast),Goals + Assists (G+A),Non-Penalty Goals (G-PK),Penalty Kicks Made (PK),Penalty Kicks Attempted (PKatt),Yellow Cards (CrdY),Red Cards (CrdR),Expected Goals (xG),Non-Penalty xG (npxG),Expected Assisted Goals (xAG),Non-Penalty xG + Assisted Goals (npxG+xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90 Minutes (Gls/90),Assists per 90 Minutes (Ast/90),Goals + Assists per 90 Minutes (G+A/90),Non-Penalty Goals per 90 Minutes (G-PK/90),Goals + Assists minus Penalty Kicks per 90 Minutes (G+A-PK/90),Expected Goals per 90 Minutes (xG/90),Expected Assisted Goals per 90 Minutes (xAG/90),Expected Goals + Assisted Goals per 90 Minutes (xG+xAG/90),Non-Penalty Expected Goals per 90 Minutes (npxG/90),Non-Penalty xG + Assisted Goals per 90 Minutes (npxG+xAG/90),Unnamed: 35,Season,Matches Played (MP).1
18,Bebé,cv CPV,RV,FW,31.0,,6,867.0,9.6,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.7,1.7,1.8,3.4,54.0,10.0,80.0,0.1,0.21,0.31,0.1,0.31,0.17,0.18,0.36,0.17,0.36,Matches,2021-2022,29.0
19,Kévin Rodrigues,pt POR,RV,"DF,FW",27.0,,5,435.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,9.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,2021-2022,13.0
20,Mario Hernández,es ESP,RV,"DF,FW",22.0,,5,395.0,4.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.3,4.0,15.0,10.0,0.23,0.0,0.23,0.23,0.23,0.06,0.01,0.06,0.06,0.06,Matches,2021-2022,9.0
21,Martín Merquelanz,es ESP,RV,"FW,MF",26.0,,3,173.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.9,1.1,5.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.09,0.47,0.56,0.09,0.56,Matches,2021-2022,4.0
22,Mamadou Sylla,sn SEN,RV,FW,27.0,,1,253.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.1,1.1,0.3,1.4,6.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.39,0.11,0.51,0.39,0.51,Matches,2021-2022,12.0
23,Andrés Martín,es ESP,RV,"FW,MF",22.0,,1,186.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.3,Matches,2021-2022,7.0
24,José Pozo,es ESP,RV,"MF,DF",25.0,,0,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.5,2.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.18,0.42,0.6,0.18,0.6,Matches,2021-2022,5.0
25,Alejandro Asensio,es ESP,RV,FW,20.0,,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.17,0.38,0.22,0.38,Matches,2021-2022,2.0
26,Álvaro Aguirre,es ESP,RV,FW,21.0,,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,1.0
27,Yacine Qasmi,ma MAR,RV,FW,30.0,,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,1.0
0,Gonçalo Guedes,pt POR,Valencia,"FW,MF",24.0,,30,2606.0,29.0,11.0,6.0,17.0,10.0,1.0,2.0,3.0,0.0,6.4,4.7,4.0,8.7,93.0,120.0,245.0,0.38,0.21,0.59,0.35,0.55,0.22,0.14,0.36,0.16,0.3,Matches,2021-2022,36.0
1,Carlos Soler,es ESP,Valencia,MF,24.0,,28,2474.0,27.5,11.0,5.0,16.0,4.0,7.0,7.0,4.0,0.0,9.1,3.5,4.0,7.6,40.0,101.0,89.0,0.4,0.18,0.58,0.15,0.33,0.33,0.15,0.48,0.13,0.28,Matches,2021-2022,32.0
2,Omar Alderete,py PAR,Valencia,DF,24.0,,28,2403.0,26.7,2.0,0.0,2.0,2.0,0.0,0.0,15.0,0.0,0.8,0.8,0.1,1.0,17.0,89.0,3.0,0.07,0.0,0.07,0.07,0.07,0.03,0.01,0.04,0.03,0.04,Matches,2021-2022,29.0
3,Hugo Guillamón,es ESP,Valencia,"MF,DF",21.0,,28,2361.0,26.2,1.0,0.0,1.0,1.0,0.0,0.0,11.0,2.0,0.4,0.4,0.4,0.8,11.0,139.0,19.0,0.04,0.0,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03,Matches,2021-2022,31.0
4,Dimitri Foulquier,fr FRA,Valencia,DF,28.0,,25,2342.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,0.6,0.6,0.6,1.2,39.0,80.0,31.0,0.0,0.04,0.04,0.0,0.04,0.02,0.02,0.05,0.02,0.05,Matches,2021-2022,29.0
5,José Luis Gayà,es ESP,Valencia,DF,26.0,,22,1871.0,20.8,2.0,4.0,6.0,2.0,0.0,0.0,8.0,2.0,1.2,1.2,2.6,3.8,36.0,67.0,92.0,0.1,0.19,0.29,0.1,0.29,0.06,0.12,0.18,0.06,0.18,Matches,2021-2022,24.0
6,Hugo Duro,es ESP,Valencia,"FW,MF",21.0,,22,1834.0,20.4,7.0,1.0,8.0,7.0,0.0,0.0,3.0,1.0,3.5,3.5,0.7,4.2,12.0,21.0,87.0,0.34,0.05,0.39,0.34,0.39,0.17,0.03,0.2,0.17,0.2,Matches,2021-2022,30.0
7,Maxi Gómez,uy URU,Valencia,FW,24.0,,21,1956.0,21.7,5.0,1.0,6.0,5.0,0.0,0.0,7.0,1.0,4.8,4.8,1.9,6.7,22.0,32.0,91.0,0.23,0.05,0.28,0.23,0.28,0.22,0.09,0.31,0.22,0.31,Matches,2021-2022,29.0
8,Mouctar Diakhaby,gn GUI,Valencia,DF,24.0,,21,1948.0,21.6,0.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,0.6,0.6,0.2,0.8,18.0,51.0,7.0,0.0,0.05,0.05,0.0,0.05,0.03,0.01,0.04,0.03,0.04,Matches,2021-2022,29.0
9,Gabriel Paulista,br BRA,Valencia,DF,30.0,,19,1592.0,17.7,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.8,0.8,0.2,1.0,9.0,35.0,1.0,0.11,0.06,0.17,0.11,0.17,0.04,0.01,0.06,0.04,0.06,Matches,2021-2022,19.0
10,Daniel Wass,dk DEN,Valencia,MF,32.0,,19,1582.0,17.6,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.8,1.8,0.6,2.5,13.0,77.0,22.0,0.06,0.06,0.11,0.06,0.11,0.1,0.04,0.14,0.1,0.14,Matches,2021-2022,19.0
11,Giorgi Mamardashvili,ge GEO,Valencia,GK,20.0,,18,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,18.0
12,Thierry Correia,pt POR,Valencia,DF,22.0,,18,1414.0,15.7,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,1.1,1.4,27.0,53.0,66.0,0.0,0.06,0.06,0.0,0.06,0.02,0.07,0.09,0.02,0.09,Matches,2021-2022,19.0
13,Jasper Cillessen,nl NED,Valencia,GK,32.0,,17,1457.0,16.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,17.0
14,Yunus Musah,us USA,Valencia,"MF,FW",18.0,,13,1259.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.5,0.5,1.2,1.7,59.0,44.0,78.0,0.07,0.0,0.07,0.07,0.07,0.04,0.08,0.12,0.04,0.12,Matches,2021-2022,29.0
15,Uroš Račić,rs SRB,Valencia,MF,23.0,,13,1206.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.9,0.9,0.4,1.3,6.0,55.0,15.0,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.1,0.07,0.1,Matches,2021-2022,28.0
16,Hélder Costa,ao ANG,Valencia,"MF,FW",27.0,,13,1118.0,12.4,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.8,2.1,39.0,34.0,80.0,0.0,0.08,0.08,0.0,0.08,0.03,0.14,0.17,0.03,0.17,Matches,2021-2022,22.0
17,Ilaix Moriba,gn GUI,Valencia,MF,18.0,,9,818.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.7,0.7,0.2,0.8,9.0,34.0,13.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,Matches,2021-2022,14.0
18,Bryan Gil,es ESP,Valencia,"MF,FW",20.0,,9,753.0,8.4,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.4,1.4,1.5,2.8,22.0,26.0,64.0,0.0,0.12,0.12,0.0,0.12,0.16,0.18,0.34,0.16,0.34,Matches,2021-2022,13.0
19,Marcos André,br BRA,Valencia,"FW,MF",24.0,,8,973.0,10.8,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,2.6,5.6,19.0,20.0,62.0,0.09,0.28,0.37,0.09,0.37,0.28,0.24,0.52,0.28,0.52,Matches,2021-2022,29.0
20,Jesus Vazquez,es ESP,Valencia,DF,18.0,,8,813.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.8,26.0,21.0,38.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches,2021-2022,15.0
21,Toni Lato,es ESP,Valencia,DF,23.0,,7,590.0,6.6,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.5,0.5,8.0,29.0,17.0,0.0,0.15,0.15,0.0,0.15,0.0,0.08,0.08,0.0,0.08,Matches,2021-2022,11.0
22,Denis Cheryshev,ru RUS,Valencia,"MF,FW",30.0,,5,563.0,6.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,0.4,1.3,14.0,19.0,36.0,0.0,0.16,0.16,0.0,0.16,0.14,0.06,0.2,0.14,0.2,Matches,2021-2022,17.0
23,Eray Cömert,ch SUI,Valencia,DF,23.0,,5,408.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.0,0.4,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.09,0.08,0.09,Matches,2021-2022,8.0
24,Jaume Doménech,es ESP,Valencia,GK,30.0,,3,343.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,4.0
25,Cristiano Piccini,it ITA,Valencia,DF,28.0,,3,322.0,3.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.2,5.0,14.0,10.0,0.28,0.0,0.28,0.28,0.28,0.04,0.02,0.07,0.04,0.07,Matches,2021-2022,6.0
26,Cristhian Mosquera,es ESP,Valencia,DF,17.0,,3,212.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches,2021-2022,6.0
27,Koba Koindredi,fr FRA,Valencia,MF,19.0,,1,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.07,0.01,0.07,Matches,2021-2022,10.0
28,Ruben Lendinez,es ESP,Valencia,DF,18.0,,1,137.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,2021-2022,4.0
29,Jason,es ESP,Valencia,"MF,DF",27.0,,1,75.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,4.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.07,0.29,0.36,0.07,0.36,Matches,2021-2022,5.0
30,Manu Vallejo,es ESP,Valencia,"FW,MF",24.0,,0,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.1,0.2,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,0.23,0.14,0.23,Matches,2021-2022,9.0
31,Jesús Santiago,es ESP,Valencia,MF,17.0,,0,82.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,3.0
32,Mario Dominguez,es ESP,Valencia,FW,17.0,,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,2.0
33,Rubén Sobrino,es ESP,Valencia,MF,29.0,,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,1.0
0,Pau Torres,es ESP,Villarreal,DF,24.0,,33,2855.0,31.7,5.0,1.0,6.0,5.0,0.0,0.0,5.0,0.0,3.0,3.0,1.5,4.5,59.0,162.0,10.0,0.16,0.03,0.19,0.16,0.19,0.09,0.05,0.14,0.09,0.14,Matches,2021-2022,33.0
1,Gerónimo Rulli,ar ARG,Villarreal,GK,29.0,,32,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,32.0
2,Daniel Parejo,es ESP,Villarreal,MF,32.0,,32,2704.0,30.0,2.0,10.0,12.0,1.0,1.0,1.0,3.0,0.0,1.5,0.7,6.9,7.6,36.0,256.0,36.0,0.07,0.33,0.4,0.03,0.37,0.05,0.23,0.28,0.02,0.25,Matches,2021-2022,33.0
3,Raúl Albiol,es ESP,Villarreal,DF,35.0,,28,2465.0,27.4,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.4,0.4,0.1,0.5,11.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.02,Matches,2021-2022,28.0
4,Manu Trigueros,es ESP,Villarreal,"MF,FW",29.0,,27,2178.0,24.2,6.0,4.0,10.0,6.0,0.0,0.0,3.0,0.0,5.7,5.7,2.6,8.3,30.0,185.0,96.0,0.25,0.17,0.41,0.25,0.41,0.24,0.11,0.34,0.24,0.34,Matches,2021-2022,35.0
5,Étienne Capoue,fr FRA,Villarreal,MF,33.0,,26,2290.0,25.4,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,0.5,0.5,0.5,1.1,44.0,134.0,29.0,0.04,0.04,0.08,0.04,0.08,0.02,0.02,0.04,0.02,0.04,Matches,2021-2022,30.0
6,Juan Foyth,ar ARG,Villarreal,DF,23.0,,22,1924.0,21.4,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.7,0.7,1.1,1.8,48.0,91.0,35.0,0.05,0.05,0.09,0.05,0.09,0.03,0.05,0.08,0.03,0.08,Matches,2021-2022,25.0
7,Yeremi Pino,es ESP,Villarreal,"MF,FW",18.0,,21,1678.0,18.6,6.0,4.0,10.0,6.0,0.0,0.0,2.0,0.0,5.5,5.5,3.5,9.0,43.0,38.0,164.0,0.32,0.21,0.54,0.32,0.54,0.29,0.19,0.48,0.29,0.48,Matches,2021-2022,31.0
8,Alfonso Pedraza,es ESP,Villarreal,DF,25.0,,19,1701.0,18.9,4.0,4.0,8.0,4.0,0.0,0.0,2.0,0.0,1.9,1.9,5.2,7.2,94.0,64.0,182.0,0.21,0.21,0.42,0.21,0.42,0.1,0.28,0.38,0.1,0.38,Matches,2021-2022,28.0
9,Pervis Estupiñán,ec ECU,Villarreal,DF,23.0,,17,1575.0,17.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,2.5,3.3,50.0,70.0,148.0,0.0,0.06,0.06,0.0,0.06,0.04,0.14,0.19,0.04,0.19,Matches,2021-2022,28.0
10,Arnaut Danjuma,nl NED,Villarreal,FW,24.0,,17,1472.0,16.4,10.0,3.0,13.0,7.0,3.0,3.0,1.0,0.0,11.9,9.5,2.2,11.7,71.0,27.0,172.0,0.61,0.18,0.79,0.43,0.61,0.73,0.14,0.86,0.58,0.72,Matches,2021-2022,23.0
11,Aïssa Mandi,dz ALG,Villarreal,DF,29.0,,14,1375.0,15.3,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,2.3,2.3,0.1,2.3,7.0,54.0,2.0,0.07,0.0,0.07,0.07,0.07,0.15,0.0,0.15,0.15,0.15,Matches,2021-2022,17.0
12,Gerard Moreno,es ESP,Villarreal,FW,29.0,,14,1191.0,13.2,9.0,3.0,12.0,8.0,1.0,2.0,2.0,0.0,7.4,5.8,4.9,10.7,29.0,67.0,95.0,0.68,0.23,0.91,0.6,0.83,0.56,0.37,0.93,0.44,0.81,Matches,2021-2022,17.0
13,Moi Gómez,es ESP,Villarreal,"MF,FW",27.0,,13,1286.0,14.3,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,2.6,2.6,2.7,5.3,26.0,71.0,83.0,0.14,0.14,0.28,0.14,0.28,0.18,0.19,0.37,0.18,0.37,Matches,2021-2022,29.0
14,Boulaye Dia,sn SEN,Villarreal,FW,24.0,,13,1269.0,14.1,5.0,5.0,10.0,5.0,0.0,0.0,3.0,0.0,5.4,5.4,2.4,7.8,22.0,16.0,93.0,0.35,0.35,0.71,0.35,0.71,0.39,0.17,0.56,0.39,0.56,Matches,2021-2022,25.0
15,Alberto Moreno,es ESP,Villarreal,"MF,DF",29.0,,13,1223.0,13.6,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,3.1,3.1,1.9,5.0,34.0,53.0,87.0,0.22,0.15,0.37,0.22,0.37,0.23,0.14,0.37,0.23,0.37,Matches,2021-2022,24.0
16,Samuel Chukwueze,ng NGA,Villarreal,"MF,FW",22.0,,12,1333.0,14.8,3.0,3.0,6.0,3.0,0.0,0.0,4.0,0.0,4.6,4.6,4.6,9.3,89.0,41.0,164.0,0.2,0.2,0.41,0.2,0.41,0.31,0.31,0.63,0.31,0.63,Matches,2021-2022,27.0
17,Vicente Iborra,es ESP,Villarreal,MF,33.0,,12,1034.0,11.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,0.4,1.0,5.0,48.0,7.0,0.0,0.09,0.09,0.0,0.09,0.06,0.03,0.09,0.06,0.09,Matches,2021-2022,20.0
18,Giovani Lo Celso,ar ARG,Villarreal,"FW,MF",25.0,,11,994.0,11.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,2.4,3.5,33.0,68.0,71.0,0.09,0.09,0.18,0.09,0.18,0.1,0.22,0.32,0.1,0.32,Matches,2021-2022,16.0
19,Serge Aurier,ci CIV,Villarreal,DF,28.0,,10,1010.0,11.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,1.4,2.3,21.0,59.0,53.0,0.0,0.09,0.09,0.0,0.09,0.07,0.13,0.2,0.07,0.2,Matches,2021-2022,19.0
20,Paco Alcácer,es ESP,Villarreal,FW,27.0,,10,787.0,8.7,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,3.9,3.9,1.6,5.5,4.0,10.0,45.0,0.11,0.34,0.46,0.11,0.46,0.45,0.19,0.63,0.45,0.63,Matches,2021-2022,18.0
21,Francis Coquelin,fr FRA,Villarreal,MF,30.0,,8,830.0,9.2,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.3,0.3,0.8,1.1,14.0,56.0,39.0,0.22,0.11,0.33,0.22,0.33,0.03,0.08,0.12,0.03,0.12,Matches,2021-2022,20.0
22,Mario Gaspar,es ESP,Villarreal,DF,30.0,,7,623.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.6,0.9,6.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13,Matches,2021-2022,12.0
23,Sergio Asenjo,es ESP,Villarreal,GK,32.0,,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,6.0
24,Rubén Peña,es ESP,Villarreal,"MF,FW",30.0,,1,132.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.1,1.3,5.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.16,0.74,0.9,0.16,0.9,Matches,2021-2022,7.0
25,Nicolas Jackson,sn SEN,Villarreal,"FW,MF",20.0,,0,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.4,6.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.52,0.26,0.78,0.52,0.78,Matches,2021-2022,9.0
26,Dani Raba,es ESP,Villarreal,"MF,FW",25.0,,0,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,1.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.35,Matches,2021-2022,7.0
27,Carlo,es ESP,Villarreal,MF,20.0,,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,1.0
28,Nikita Iosifov,ru RUS,Villarreal,MF,20.0,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,1.0
0,Iñaki Williams,gh GHA,Ac,FW,28.0,,34,2836.0,31.5,10.0,3.0,13.0,9.0,1.0,2.0,2.0,0.0,10.7,9.1,4.8,13.9,127.0,61.0,341.0,0.32,0.1,0.41,0.29,0.38,0.34,0.15,0.49,0.29,0.44,Matches,2022-2023,36.0
1,Óscar de Marcos,es ESP,Ac,DF,33.0,,32,2819.0,31.3,1.0,6.0,7.0,1.0,0.0,0.0,7.0,0.0,0.4,0.4,3.5,4.0,76.0,204.0,153.0,0.03,0.19,0.22,0.03,0.22,0.01,0.11,0.13,0.01,0.13,Matches,2022-2023,37.0
2,Nico Williams,es ESP,Ac,FW,20.0,,32,2656.0,29.5,6.0,4.0,10.0,6.0,0.0,0.0,3.0,0.0,4.9,4.9,6.4,11.3,174.0,80.0,321.0,0.2,0.14,0.34,0.2,0.34,0.17,0.22,0.38,0.17,0.38,Matches,2022-2023,36.0
3,Oihan Sancet,es ESP,Ac,MF,22.0,,32,2532.0,28.1,10.0,2.0,12.0,8.0,2.0,2.0,6.0,1.0,7.6,6.0,4.2,10.2,91.0,159.0,156.0,0.36,0.07,0.43,0.28,0.36,0.27,0.15,0.42,0.21,0.36,Matches,2022-2023,36.0
4,Unai Simón,es ESP,Ac,GK,25.0,,31,2745.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,31.0
5,Mikel Vesga,es ESP,Ac,MF,29.0,,28,2575.0,28.6,3.0,3.0,6.0,1.0,2.0,3.0,5.0,0.0,3.9,1.5,1.5,3.0,26.0,199.0,31.0,0.1,0.1,0.21,0.03,0.14,0.14,0.05,0.19,0.05,0.11,Matches,2022-2023,36.0
6,Yuri Berchiche,es ESP,Ac,DF,32.0,,27,2406.0,26.7,1.0,1.0,2.0,1.0,0.0,0.0,9.0,1.0,1.3,1.3,1.4,2.7,59.0,179.0,95.0,0.04,0.04,0.07,0.04,0.07,0.05,0.05,0.1,0.05,0.1,Matches,2022-2023,29.0
7,Yeray Álvarez,es ESP,Ac,DF,27.0,,27,2332.0,25.9,1.0,1.0,2.0,1.0,0.0,0.0,7.0,1.0,0.8,0.8,1.1,1.9,32.0,152.0,8.0,0.04,0.04,0.08,0.04,0.08,0.03,0.04,0.07,0.03,0.07,Matches,2022-2023,28.0
8,Daniel Vivian,es ESP,Ac,DF,23.0,,26,2376.0,26.4,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,1.2,1.2,0.7,2.0,25.0,124.0,5.0,0.04,0.0,0.04,0.04,0.04,0.05,0.03,0.07,0.05,0.07,Matches,2022-2023,29.0
9,Álex Berenguer,es ESP,Ac,FW,27.0,,26,2297.0,25.5,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,4.3,4.3,4.6,9.0,73.0,77.0,249.0,0.16,0.04,0.2,0.16,0.2,0.17,0.18,0.35,0.17,0.35,Matches,2022-2023,37.0
10,Iker Muniain,es ESP,Ac,"MF,FW",29.0,,19,1689.0,18.8,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,3.9,6.9,50.0,154.0,103.0,0.0,0.16,0.16,0.0,0.16,0.16,0.21,0.37,0.16,0.37,Matches,2022-2023,30.0
11,Dani García,es ESP,Ac,MF,32.0,,18,1485.0,16.5,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,1.4,1.4,0.7,2.1,6.0,73.0,8.0,0.0,0.12,0.12,0.0,0.12,0.09,0.04,0.13,0.09,0.13,Matches,2022-2023,25.0
12,Gorka Guruzeta,es ESP,Ac,FW,25.0,,17,1421.0,15.8,6.0,1.0,7.0,6.0,0.0,0.0,2.0,0.0,6.1,6.1,1.0,7.1,15.0,37.0,93.0,0.38,0.06,0.44,0.38,0.44,0.39,0.06,0.45,0.39,0.45,Matches,2022-2023,30.0
