Index,Player,Nation,Team,Position,Age,Matches Played (MP),Starts,Minutes Played (Min),90s Played (90s),Goals (Gls),Assists (Ast),Goals + Assists (G+A),Non-Penalty Goals (G-PK),Penalty Kicks Made (PK),Penalty Kicks Attempted (PKatt),Yellow Cards (CrdY),Red Cards (CrdR),Expected Goals (xG),Non-Penalty xG (npxG),Expected Assisted Goals (xAG),Non-Penalty xG + Assisted Goals (npxG+xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90 Minutes (Gls/90),Assists per 90 Minutes (Ast/90),Goals + Assists per 90 Minutes (G+A/90),Non-Penalty Goals per 90 Minutes (G-PK/90),Goals + Assists minus Penalty Kicks per 90 Minutes (G+A-PK/90),Expected Goals per 90 Minutes (xG/90),Expected Assisted Goals per 90 Minutes (xAG/90),Expected Goals + Assisted Goals per 90 Minutes (xG+xAG/90),Non-Penalty Expected Goals per 90 Minutes (npxG/90),Non-Penalty xG + Assisted Goals per 90 Minutes (npxG+xAG/90),Unnamed: 35,Season,Matches Played (MP).1
4,Víctor Laguardia,es ESP,Alaves,DF,30.0,,30,2631.0,29.2,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,1.3,1.3,0.6,1.9,10.0,50.0,3.0,0.0,0.03,0.03,0.0,0.03,0.04,0.02,0.06,0.04,0.06,Matches,2020-2021,32.0
5,Rubén Duarte,es ESP,Alaves,DF,24.0,,29,2545.0,28.3,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,1.4,1.4,2.8,4.2,27.0,111.0,54.0,0.04,0.04,0.07,0.04,0.07,0.05,0.1,0.15,0.05,0.15,Matches,2020-2021,31.0
6,Rodrigo Battaglia,ar ARG,Alaves,MF,29.0,,29,2492.0,27.7,1.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,1.2,1.2,0.2,1.3,22.0,73.0,14.0,0.04,0.0,0.04,0.04,0.04,0.04,0.01,0.05,0.04,0.05,Matches,2020-2021,32.0
7,Ximo Navarro,es ESP,Alaves,DF,30.0,,28,2375.0,26.4,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.4,0.4,0.6,1.0,28.0,59.0,27.0,0.04,0.04,0.08,0.04,0.08,0.02,0.02,0.04,0.02,0.04,Matches,2020-2021,31.0
8,Édgar Méndez,es ESP,Alaves,"MF,FW",30.0,,26,2090.0,23.2,5.0,1.0,6.0,5.0,0.0,0.0,12.0,1.0,5.5,5.5,1.6,7.0,47.0,23.0,115.0,0.22,0.04,0.26,0.22,0.26,0.24,0.07,0.3,0.24,0.3,Matches,2020-2021,33.0
9,Luis Rioja,es ESP,Alaves,"MF,FW",26.0,,25,2090.0,23.2,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,3.3,3.3,2.7,6.0,71.0,42.0,130.0,0.17,0.09,0.26,0.17,0.26,0.14,0.12,0.26,0.14,0.26,Matches,2020-2021,35.0
10,Lucas Pérez,es ESP,Alaves,FW,31.0,,19,1759.0,19.5,4.0,4.0,8.0,1.0,3.0,4.0,1.0,0.0,6.7,3.5,4.6,8.1,44.0,72.0,136.0,0.2,0.2,0.41,0.05,0.26,0.34,0.23,0.58,0.18,0.41,Matches,2020-2021,28.0
11,Jota,es ESP,Alaves,MF,29.0,,18,1398.0,15.5,0.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,0.8,0.8,2.8,3.6,28.0,55.0,39.0,0.0,0.13,0.13,0.0,0.13,0.05,0.18,0.23,0.05,0.23,Matches,2020-2021,23.0
12,Martin Agirregabiria,es ESP,Alaves,"DF,MF",24.0,,16,1558.0,17.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.7,0.9,11.0,39.0,36.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,Matches,2020-2021,26.0
13,Pere Pons,es ESP,Alaves,MF,27.0,,12,1186.0,13.2,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.9,0.9,1.1,1.9,17.0,36.0,33.0,0.15,0.0,0.15,0.15,0.15,0.07,0.08,0.15,0.07,0.15,Matches,2020-2021,22.0
14,Deyverson,br BRA,Alaves,FW,29.0,,11,874.0,9.7,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,1.5,1.5,2.4,3.8,5.0,27.0,48.0,0.1,0.31,0.41,0.1,0.41,0.15,0.25,0.4,0.15,0.4,Matches,2020-2021,27.0
15,Manu García,es ESP,Alaves,MF,34.0,,10,1124.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.6,0.6,0.5,1.1,4.0,28.0,27.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,Matches,2020-2021,25.0
16,Tachi,es ESP,Alaves,DF,22.0,,8,850.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.4,0.4,0.2,0.5,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches,2020-2021,12.0
17,Rodrigo Ely,br BRA,Alaves,DF,26.0,,6,468.0,5.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.3,0.9,1.0,3.0,0.0,0.19,0.0,0.19,0.19,0.19,0.11,0.05,0.16,0.11,0.16,Matches,2020-2021,8.0
18,Facundo Pellistri,uy URU,Alaves,"MF,FW",18.0,,5,542.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.6,21.0,8.0,32.0,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.1,0.09,0.1,Matches,2020-2021,12.0
